fid,risk,CODE_5_18
1450,16,11110
1451,16,11110
1452,16,11110
1453,16,11110
1454,15,11110
1455,15,11110
1456,15,11110
1457,15,11110
1458,15,11110
1459,15,11110
1460,15,11110
1461,15,11110
1462,15,11110
1463,15,11110
1464,15,11110
1465,15,11110
1466,15,11110
1467,15,11110
1468,15,11110
1469,15,11110
1470,15,11110
1471,15,11110
1472,15,11110
1473,15,11110
1474,15,11110
1475,15,11110
1476,15,11110
1477,15,11110
1478,15,11110
1479,15,11110
1480,15,11110
1481,15,11110
1482,15,11110
1483,15,11110
1484,15,11110
1485,15,11110
1548,15,11110
1549,15,11110
1550,15,11110
1551,15,11110
1552,15,11110
1553,15,11110
1554,15,11110
1555,15,11110
1556,15,11110
1557,15,11110
1558,15,11110
1559,15,11110
1560,15,11110
1561,15,11110
1562,15,11210
1563,15,11110
1564,15,11110
1565,15,11110
1566,15,11110
1567,15,11110
1568,15,11110
1569,15,11110
1570,15,11110
1571,15,11110
1572,15,11110
1573,15,11110
1574,15,11110
1575,15,11110
1576,15,11110
1577,15,11110
1578,15,11110
1579,15,11110
1580,15,11110
1581,15,11110
1582,15,11110
1583,15,11110
1584,15,11110
1585,15,11110
1586,15,11110
1649,15,11110
1650,15,11110
1651,15,11110
1652,15,11110
1653,15,11110
1654,15,11110
1655,15,11110
1656,15,11110
1657,15,11110
1658,15,11110
1659,15,11110
1660,15,11110
1661,15,11110
1662,15,11110
1663,15,11110
1664,15,11110
1665,15,11110
1666,15,11110
1667,15,11110
1668,15,11110
1669,15,11110
1670,15,11110
1671,15,11110
1672,15,11110
1673,15,11110
1674,15,11110
1675,15,11110
1676,15,11110
1677,15,11110
1678,15,11110
1679,15,11110
1680,15,11110
1681,15,11110
1682,15,11110
1683,15,11110
1684,15,11110
1685,15,11110
1686,15,11110
1749,15,11110
1750,15,11110
1751,15,11110
1752,15,11110
1753,15,11110
1754,15,11110
1755,15,11110
1756,15,11110
1757,15,11110
1758,15,11110
1759,15,11110
1760,15,11110
1761,15,11110
1762,15,11110
1763,15,11110
1764,15,11110
1765,15,11110
1766,15,11110
1767,15,11110
1768,15,11110
1769,15,11110
1770,15,11110
1771,15,11110
1772,15,11110
1773,15,11110
1774,15,11110
1775,15,11110
1776,15,11110
1777,15,11110
1778,15,11110
1779,15,11110
1780,15,11110
1781,15,11110
1782,15,11110
1783,15,11110
1784,15,11110
1785,15,11110
1786,15,11110
1849,15,11110
1850,15,11110
1851,15,11110
1852,15,11110
1853,15,11110
1854,15,11110
1855,15,11110
1856,15,11110
1857,15,12100
1858,15,12100
1859,15,11110
1860,15,11110
1861,15,11110
1862,15,11110
1863,15,11110
1864,15,11110
1865,15,11110
1866,15,11110
1867,15,11110
1930,15,11110
1931,15,11110
1932,15,11110
1933,15,11110
1934,15,11110
1935,15,11110
1936,15,11110
1937,15,12100
1938,15,14000
1939,15,14000
