fid,risk,CODE_5_18
2795,17,11110
2796,15,11120
2797,15,11120
2798,15,11120
2799,15,11110
2800,15,11110
2801,15,11110
2802,15,11110
2803,15,11110
2804,15,11110
2805,15,11110
2806,15,11110
2807,15,11110
2808,15,11110
2809,15,11110
2810,15,11110
2811,15,11110
2812,15,11110
2813,15,11110
2814,15,11110
2815,15,11110
