fid,risk,CODE_5_18
1411,16,11110
1412,16,11110
1413,16,11110
1414,16,11110
1415,16,11110
1416,16,11110
1417,16,11110
1418,16,11110
1419,16,11110
1420,16,11110
1421,16,11110
1422,16,11110
1486,16,11110
1487,17,11110
1488,17,11110
1489,17,11110
1490,17,11110
1491,16,11110
1492,16,11110
1493,16,11110
1494,16,11110
1495,16,11110
1496,16,11110
1497,16,11110
1498,16,11110
1499,16,11110
1500,16,11110
1501,16,11110
1502,16,11110
1503,16,11110
1504,16,11110
1505,16,11110
1506,16,11110
1507,16,11110
1508,16,11110
1509,16,11110
1510,16,11110
1511,16,12100
1512,16,11110
1513,16,11110
1514,16,11110
1515,16,11110
1516,16,11120
1517,16,11120
1518,16,11120
1519,16,11110
1520,16,11110
1521,16,11110
1522,16,11110
1523,16,11110
1524,16,11110
1525,16,11110
1526,16,11110
1527,16,11110
1528,16,11110
1529,16,11110
1530,16,11110
1531,16,11110
1532,16,11110
1533,16,11110
1534,16,11110
1535,16,11110
1536,16,11110
1537,16,11110
1538,16,11110
1539,16,11110
1540,16,11110
1541,16,11110
1542,16,11110
1543,16,11110
1544,15,11110
1545,15,11110
1546,15,11110
1547,15,11110
1587,16,11110
1588,17,11110
1589,17,11110
1590,17,11110
1591,17,11110
1592,16,11110
1593,16,11110
1594,16,11110
1595,16,11110
1596,16,11110
1597,16,11110
1598,16,11110
1599,16,11110
1600,16,11110
1601,16,11110
1602,16,11110
1603,16,11110
1604,16,11110
1605,16,11110
1606,16,11110
1607,16,11110
1608,16,11110
1609,16,11110
1610,16,11110
1611,16,11110
1612,16,11110
1613,16,11110
1614,16,11110
1615,16,11110
1616,16,11110
1617,16,11110
1618,16,11110
1619,16,11110
1620,16,11110
1621,16,11110
1622,16,11110
1623,16,11110
1624,16,11110
1625,16,11110
1626,16,11110
1627,16,11110
1628,16,11110
1629,16,11110
1630,16,11110
1631,16,11110
1632,16,11110
1633,16,11110
1634,16,11110
1635,16,11110
1636,16,11110
1637,16,11110
1638,16,11110
1639,16,11110
1640,16,11110
1641,16,11110
1642,16,11110
1643,16,11110
1644,16,11110
1645,15,11110
1646,15,11110
1647,15,11110
1648,15,11110
1687,16,11110
1688,16,11110
1689,16,11110
1690,16,11110
1691,16,11110
1692,16,11110
1693,16,11110
1694,16,11110
1695,16,11110
1696,16,11110
1697,16,11110
1698,16,11110
1699,16,11110
1700,16,11110
1701,16,11110
1702,16,11110
1703,16,11110
1704,16,11110
1705,16,11110
1706,16,11110
1707,16,11110
1708,16,11110
1709,16,11110
1710,16,11110
1711,16,11110
1712,16,11110
1713,16,11110
1714,16,11110
1715,16,11110
1716,16,11110
1717,16,11110
1718,16,11110
1719,16,11110
1720,16,11110
1721,16,11110
1722,16,11110
1723,16,11110
1724,16,11110
1725,16,11110
1726,16,11110
1727,16,11110
1728,16,11110
1729,16,11110
1730,16,11110
1731,16,11110
1732,16,11110
1733,16,11110
1734,16,11110
1735,16,11110
1736,16,11110
1737,16,11110
1738,16,11110
1739,16,11110
1740,16,11110
1741,16,11110
1742,16,11110
1743,16,11110
1744,16,11110
1745,15,11110
1746,15,11110
1747,15,11110
1748,15,11110
1787,16,11110
1788,16,11110
1789,16,11110
1790,16,11110
1791,16,11110
1792,16,11110
1793,16,11110
1794,16,11110
1795,16,11110
1796,16,11110
1797,16,11110
1798,16,11110
1799,16,11110
1800,16,11110
1801,16,11110
1802,16,11110
1803,16,11110
1804,16,11110
1805,16,11110
1806,16,11110
1807,16,11110
1808,15,11110
1809,15,11110
1810,15,11110
1811,15,11110
1812,15,11110
1813,15,11110
1814,15,12100
1815,15,11110
1816,15,11110
1817,15,11110
1818,15,11110
1819,15,11110
1820,15,11110
1821,15,11110
1822,15,11110
1823,15,11110
1824,15,11110
1825,15,11110
1826,15,11110
1827,15,11110
1828,15,11110
1829,15,11110
1830,15,11110
1831,15,11110
1832,15,11110
1833,16,11110
1834,16,11110
1835,16,11110
1836,16,11110
1837,16,11110
1838,16,11110
1839,16,11110
1840,16,11110
1841,16,11110
1842,16,11110
1843,16,11110
1844,16,11110
1845,15,11110
1846,15,11110
1847,15,11110
1848,15,11110
1868,16,11110
1869,16,11110
1870,16,11110
1871,16,11110
1872,16,11110
1873,16,11110
1874,16,11110
1875,16,11110
1876,16,11110
1877,16,11110
1878,16,11110
1879,16,11110
1880,16,11110
1881,16,11210
1882,16,11210
1883,16,11210
1884,16,11110
1885,16,11110
1886,16,11110
1887,16,11110
1888,16,11110
1889,15,11110
1890,15,11110
1891,15,11110
1892,15,11110
1893,15,11110
1894,15,11110
1895,15,11110
1896,15,11110
1897,15,12100
1898,15,12100
1899,15,12100
1900,15,11110
1901,15,11110
1902,15,11110
1903,15,11110
1904,15,11110
1905,15,11110
1906,15,11110
1907,15,11110
1908,15,11110
1909,15,11110
1910,15,11110
1911,15,11110
1912,15,11110
1913,15,11110
1914,16,11110
1915,16,11110
1916,16,11110
1917,16,11110
1918,16,11110
1919,16,11110
1920,16,11110
1921,16,11110
1922,16,11110
1923,16,11110
1924,16,11110
1925,16,11110
1926,15,11110
1927,15,11110
1928,15,11110
1929,15,11110
1949,16,11110
1950,16,11110
1951,16,11110
1952,16,11110
1953,16,11110
1954,16,11110
1955,16,11110
1956,16,11110
1957,16,11110
1958,16,11110
1959,16,11110
1960,16,11110
1961,16,11110
1962,16,11210
1963,16,11210
1964,16,11210
1965,16,11210
1966,16,11210
1967,16,11210
1968,16,11210
1969,16,11110
1970,15,11110
1971,15,11110
1972,15,11110
1973,15,11110
1974,15,11110
1975,15,11110
1976,15,11110
1977,15,11110
1978,15,11110
1979,15,11110
1980,15,11110
1981,15,11110
1982,15,12100
1983,15,11110
1984,15,11110
1985,15,11110
1986,15,11110
1987,15,11110
1988,15,11110
1989,15,11110
1990,15,11110
1991,15,11110
1992,15,11110
1993,15,11110
1994,15,11110
1995,16,11110
1996,16,11110
1997,16,11110
1998,16,11110
1999,16,11110
2000,16,11110
2001,16,11110
2002,16,11110
2003,16,12100
2004,16,12100
2005,16,12100
2006,16,12100
2007,15,12100
2008,15,11110
2009,15,12100
2010,15,12100
2030,15,11110
2031,15,11110
2032,15,11110
2033,16,11110
2034,16,11110
2035,16,11110
2036,16,11110
2037,16,11110
2038,16,11110
2039,16,11110
2040,16,11110
2041,16,11110
2042,15,11110
2043,15,11110
2044,15,11110
2045,15,11110
2046,15,11110
2047,15,11110
2048,15,11110
2049,15,11110
2050,15,11210
2051,15,11210
2052,15,11210
2053,15,11110
2054,15,11110
2055,15,11110
2056,15,11110
2057,15,11110
2058,15,11110
2059,15,11110
2060,15,11110
2061,15,11110
2062,15,11110
2063,15,11110
2064,15,11110
2065,15,12100
2066,15,11110
2067,15,11110
2068,15,11110
2069,15,11110
2070,15,11110
2071,15,11110
2072,15,11110
2073,15,11110
2074,15,11110
2075,15,11110
2076,15,11110
2077,15,11110
2078,15,11110
2082,15,11110
2083,15,11110
2084,15,11110
2085,16,11110
2086,16,11110
2087,16,11110
2088,16,11110
2089,16,11110
2090,16,11110
2091,16,11110
2092,16,11110
2093,16,11110
2094,15,11110
2095,15,11110
2096,15,11110
2097,15,11110
2098,15,11110
2099,15,11110
2100,15,11110
2101,15,11110
2102,15,11110
2103,15,11110
2104,15,11110
2105,15,11110
2106,15,11110
2107,15,11110
2108,15,11110
2109,15,11110
2110,15,11110
2111,15,11110
2112,15,11110
2113,15,11110
2114,15,11110
2115,15,11110
2116,15,11110
2117,15,11110
2118,15,11110
2119,15,11110
2120,15,11110
2121,15,11110
2122,15,11110
2123,15,11110
2124,15,11110
2125,15,12100
2126,15,11110
2127,15,11110
2128,15,11110
2129,15,11110
2130,15,11110
2134,15,11110
2135,15,11110
2136,15,11110
2137,16,11110
2138,16,11110
2139,16,11110
2140,16,11110
2141,16,11110
2142,16,11110
2143,16,11110
2144,16,11110
2145,16,11110
2146,15,11110
2147,15,11110
2148,15,11110
2149,15,11110
2150,15,11110
2151,15,11110
2152,15,11110
2153,15,11110
2154,15,11110
2155,15,11110
2156,15,11110
2157,15,11110
2158,15,11110
2159,15,11110
2160,15,11110
2161,15,11110
2162,15,11110
2163,15,11110
2164,15,11110
2165,15,11110
2166,15,11110
2167,15,11110
2168,15,11110
2169,15,11110
2170,15,12100
2171,15,11110
2172,15,11110
2173,15,11110
2174,15,11110
2175,15,11110
2176,15,11110
2177,15,11110
2178,15,11110
2179,15,11110
2180,15,12100
2181,15,12100
2182,15,12100
2186,15,11110
2187,15,11110
2188,15,11110
2189,15,11110
2190,15,11110
2191,15,11110
